name,state_code,status,target_failure,funding_rounds,funding_total_usd,milestones,relationships,is_top500,has_VC,has_roundA,has_roundB,age_first_funding_year,age_last_funding_year,pred_failure_prob_rf,risk_bucket_rf
Adept Cloud,CA,acquired,0,2,1015000,1,5,0,1,1,0,1.337,1.4219,0.29294910497957893,Low
Factery,CA,closed,1,1,1200000,1,2,1,1,0,0,0.4438,0.4438,0.7856346940982024,High
"MeetMe, Inc.",PA,acquired,0,2,17100000,4,16,1,0,1,1,1.8301,3.3288,0.09565975553419159,Low
WildBlue,CO,acquired,0,1,50000000,1,0,1,1,0,0,4.6767,4.6767,0.40032854695070724,Medium
HeadCase Humanufacturing,CA,closed,1,1,900000,0,3,1,0,1,0,0.6548,0.6548,0.852563412772887,High
bluepulse,CA,closed,1,1,6000000,2,7,1,0,1,0,16.9863,16.9863,0.7530407876807462,High
Mr. Youth,NY,acquired,0,2,15100000,3,5,0,0,1,0,0.7479,7.0904,0.20709107442096156,Low
Teknovus,CA,acquired,0,5,62600000,2,7,1,1,1,1,1.0,8.8795,0.24348857568755405,Low
Qik,CA,acquired,0,4,14800000,3,15,1,1,0,1,1.8575,4.6027,0.12552262032887598,Low
EQAL,CA,acquired,0,2,6875000,5,30,1,1,1,0,0.0411,3.1425,0.19720124631180372,Low
IonLogix Systems,TX,closed,1,1,30000,0,1,0,0,0,0,0.8712,0.8712,0.9099381249849599,High
Atrica,CA,closed,1,1,22200000,1,10,1,0,0,0,6.263,6.263,0.26609863781594795,Low
Socialthing,CO,acquired,0,2,415000,2,6,1,0,0,0,0.2055,0.4329,0.259882677372796,Low
Next New Networks,NY,acquired,0,4,27063781,4,16,1,0,1,1,-0.1616,3.8329,0.10090311766914185,Low
AdECN,CA,acquired,0,1,3100000,1,6,1,0,1,0,3.0877,3.0877,0.2849081589060723,Low
Cuil,CA,closed,1,2,33000000,4,13,1,0,1,1,2.1616,3.2877,0.3236945670489368,Low
Sensory Networks,CA,acquired,0,3,17400000,2,2,1,1,0,0,2.7753,5.0027,0.3691259695027908,Medium
Flock,CA,acquired,0,5,28300000,4,17,1,0,1,1,0.0,3.3863,0.08598908428403901,Low
AdMob,CA,acquired,0,4,46800000,6,42,1,0,1,1,-0.2493,2.1644,0.11393889457701327,Low
FeeFighters,IL,acquired,0,3,1525000,2,5,1,0,0,0,1.3288,2.0301,0.24996999669184036,Low
WeHostels,NY,acquired,0,1,1200000,3,9,1,0,0,0,0.3397,0.3397,0.19730885093347253,Low
TimeBridge,CA,acquired,0,3,12400000,4,6,1,1,1,1,0.1781,4.0301,0.2558998946657859,Low
Lazarus Therapeutics,PA,closed,1,1,100000,0,1,1,1,0,0,4.5863,4.5863,0.8141323230581213,High
Loyalty Lab,CA,acquired,0,3,11000000,1,4,1,1,0,1,2.2219,7.3288,0.18961875909566517,Low
RentStuff.com,TN,acquired,0,2,675000,1,3,0,0,0,0,1.3397,2.2795,0.5951023700854297,Medium
ZManda,CA,acquired,0,2,13000000,0,5,1,0,1,1,0.0,2.3863,0.24367095126288124,Low
Jumo,NY,acquired,0,1,3500000,2,5,1,0,0,0,0.7479,0.7479,0.22059562065865,Low
Sionex,MA,closed,1,1,12000000,1,2,1,0,0,0,4.9342,4.9342,0.3078089151245894,Low
sezmi,CA,acquired,0,5,78573646,4,10,1,0,1,1,0.5808,4.8521,0.12215403214084546,Low
StudioNow,TN,acquired,0,3,15286415,1,2,0,0,1,0,0.4521,6.0822,0.5477642297024058,Medium
PicApp,CA,acquired,0,1,3200000,3,5,1,0,1,0,0.7123,0.7123,0.23628022115236072,Low
Million Dollar Earth,WA,closed,1,1,30000,1,1,0,0,0,0,0.0164,0.0164,0.9251733079572358,High
Composite Software,CA,acquired,0,3,14650003,1,28,0,0,0,0,0.0,10.8192,0.2951890468151008,Low
Terracotta,CA,acquired,0,2,23500000,1,9,1,1,0,1,3.1589,5.6712,0.1269007767834479,Low
FireStar Software,MA,closed,1,1,980000,0,2,0,0,0,0,5.0082,5.0082,0.7783850363161792,High
Aquest Systems,CA,closed,1,1,20000000,0,0,1,0,0,1,3.1562,3.1562,0.7587690298952332,High
Faves,WA,closed,1,1,1500000,0,4,0,0,0,0,-0.9178,-0.9178,0.7636049052830812,High
Generate,CA,acquired,0,2,8000000,1,0,1,0,1,0,4.1753,5.537000000000001,0.4398748918769369,Medium
Attributor,CA,acquired,0,4,25200000,3,13,1,0,1,1,0.326,4.6932,0.06720124796908941,Low
Greenplum Software,CA,acquired,0,4,61000000,2,21,1,0,1,1,2.7507,4.589,0.13827329126206386,Low
PlaySpan,CA,acquired,0,4,46300000,4,12,1,1,1,1,1.337,4.3041,0.08335636868895725,Low
JackBe,MD,acquired,0,4,24500000,5,15,1,0,0,1,4.0274,8.2712,0.14056277837457995,Low
D2C Games,CA,closed,1,2,7500000,1,1,0,0,1,0,0.9863,1.6575,0.6596596635466028,Medium
Zimbra,CA,acquired,0,1,14500000,3,19,1,0,0,0,3.2493,3.2493,0.08714247762094328,Low
Smith & Tinker,WA,closed,1,1,29000000,1,1,1,1,0,0,2.6493,2.6493,0.6820271390962857,High
Mu Dynamics,CA,acquired,0,3,24000000,1,5,1,0,1,1,0.0,3.3808,0.09337807366722921,Low
Fulcrum Microsystems,CA,acquired,0,4,81017493,1,2,1,1,0,0,5.3562,10.2082,0.37038313826226843,Medium
ReTel Technologies,CA,acquired,0,2,1000000,3,4,1,0,0,0,1.8493,2.1726,0.20421110162639483,Low
NexGen Storage,CO,acquired,0,2,12010000,2,14,1,1,1,0,1.1014,1.8712,0.12997871669787814,Low
WAY Systems,MA,acquired,0,1,22000000,3,2,1,0,0,0,3.7562,3.7562,0.23899094010213767,Low
Roxro Pharma,CA,closed,1,1,42700000,0,1,1,0,0,1,8.4493,8.4493,0.8313721058369099,High
Intelliden,CA,acquired,0,3,80000000,1,5,1,1,0,0,5.9753,7.3918,0.241799267458775,Low
Forrst,CA,acquired,0,1,205000,3,3,1,0,0,0,1.1589,1.1589,0.5360721855948517,Medium
XGraph,NY,acquired,0,1,3750000,2,5,1,0,1,0,1.7644,1.7644,0.16994478125403814,Low
Color Labs Inc.,CA,closed,1,2,41000000,2,11,1,0,1,1,0.0,0.6411,0.18956414577172725,Low
Playdom,CA,acquired,0,2,76000000,3,37,1,0,1,0,1.7781,2.3863,0.12841426458961197,Low
Digital Reef,MA,acquired,0,2,20000000,2,9,1,0,1,1,0.0,2.7507,0.0782541984111209,Low
Servio,CA,acquired,0,2,9356180,4,11,1,0,1,1,1.2877,3.8521,0.09389430187106308,Low
Advaliant,NY,closed,1,1,100000,2,6,0,0,0,0,-9.0466,-9.0466,0.7874066405840925,High
Vocalocity,GA,acquired,0,2,13600000,2,9,1,0,0,1,2.0767,4.6603,0.11076251535505811,Low
Dapper,CA,acquired,0,1,3000000,4,19,1,0,1,0,1.1671,1.1671,0.13475134812329073,Low
SeeSaw Networks,CA,closed,1,5,21138876,0,4,1,1,1,1,1.874,6.4767,0.45268229202480303,Medium
oneforty,MA,acquired,0,4,2345000,3,13,1,0,1,0,0.1945,0.7836,0.14475836602935402,Low
Smalltown,CA,closed,1,1,4000000,4,7,0,0,1,0,0.7945,0.7945,0.5763674755584313,Medium
Skyrider,CA,closed,1,2,17000000,2,2,1,1,0,0,3.811,5.1781,0.5113145379393952,Medium
SkillSlate,NY,acquired,0,1,1100000,1,8,1,0,0,0,1.8,1.8,0.2027422573357367,Low
AwesomeTouch,KY,acquired,0,4,59700,1,3,1,0,0,0,-0.2384,0.8493,0.5112045465703684,Medium
Syncplicity,CA,acquired,0,1,2350000,3,12,1,0,1,0,-0.0082,-0.0082,0.19977840191405477,Low
Fortisphere,VA,closed,1,1,10000000,1,2,1,0,1,0,1.8822,1.8822,0.6973179537350825,High
PlayerDuel,CA,closed,1,2,21189,1,2,1,1,0,0,0.6767,1.4493,0.8158969832820897,High
Aveksa,MA,acquired,0,3,28000000,2,7,1,0,1,1,2.4521,5.1562,0.11585058121707056,Low
PANTA Systems,CA,closed,1,1,9500000,0,0,0,1,0,0,3.3315,3.3315,0.8766142436680912,High
Beceem Communications,CA,acquired,0,3,69600000,1,5,1,1,0,1,1.7479,5.5616,0.18493469730598,Low
Trust Digital,VA,acquired,0,3,23500000,2,11,1,1,0,1,2.6822,6.4164,0.11706409611699188,Low
Sabrix,OR,acquired,0,1,13000000,1,6,1,0,0,0,4.4712,4.4712,0.1536423202982899,Low
Panther Express,NY,acquired,0,2,21750000,2,8,1,1,0,1,1.5616,3.1562,0.19571084579270873,Low
T-Networks,PA,closed,1,1,5750000,0,0,1,0,0,0,5.1644,5.1644,0.7174894881887508,High
BlueNote Networks,ME,acquired,0,2,23400000,1,1,1,0,1,1,0.7342,1.1753,0.395517162285827,Medium
Predictify,CA,closed,1,1,4300000,3,4,1,0,1,0,1.0685,1.0685,0.2230820569934634,Low
BreakingPoint Systems,TX,acquired,0,2,20000000,1,1,1,1,0,0,2.2082,4.6521,0.4398786351341357,Medium
OptiMedica,CA,acquired,0,2,51000000,1,16,1,0,0,0,4.2356,9.3616,0.16709232042563,Low
Metatomix,MA,acquired,0,4,27101994,1,2,1,1,0,1,3.6877,10.137,0.4716064396454961,Medium
Neterion,CA,acquired,0,1,6480000,1,6,1,0,0,0,5.1507,5.1507,0.21505279412753764,Low
Schooner Information Technology,CA,acquired,0,2,35000000,2,8,1,0,1,1,0.4192,2.2329,0.18695385967344647,Low
Swaptree Inc.,MA,closed,1,3,11300000,2,5,1,1,0,1,-3.5068,0.3945,0.5358533717820178,Medium
Nalace Corporation,GA,closed,1,1,19000,1,1,0,0,0,0,0.2986,0.2986,0.9072201197929045,High
Quidsi,NJ,acquired,0,6,78500000,3,27,1,0,1,1,1.6658,5.3014,0.09944169291374613,Low
spotdock,NY,closed,1,1,600000,0,4,0,0,0,0,0.1534,0.1534,0.7672645979160239,High
Netcordia,MD,acquired,0,2,13000000,1,3,1,0,1,1,5.4932,6.5836,0.1939159769558262,Low
SearchMe,CA,closed,1,5,43600000,3,7,1,0,1,1,0.0,2.8356,0.33285617166107606,Medium
Yammer,CA,acquired,0,5,142000000,3,38,1,0,1,1,0.3589,3.4712,0.12974465659324763,Low
Clever Sense,CA,acquired,0,2,2000000,2,6,1,1,1,0,2.1836,3.3068,0.24956783010537922,Low
AlterPoint,TX,acquired,0,3,26800000,1,4,1,0,1,1,2.0,4.0466,0.2847164522287343,Low
Shocking Technologies,CA,closed,1,6,55900000,1,2,1,1,1,1,1.2904,6.3889999999999985,0.6308759572912812,Medium
Ribbit,CA,acquired,0,2,11000000,3,14,1,0,1,1,1.6027,2.8137,0.06866158978406935,Low
StorSimple,CA,acquired,0,3,31500000,1,19,1,0,1,1,0.4137,2.474,0.09108400705114704,Low
NationalField,DC,acquired,0,1,1500000,2,4,0,1,0,0,3.3863,3.3863,0.33930638959739756,Medium
Tripl,NY,closed,1,3,900000,3,5,1,0,0,0,0.0082,1.1479,0.4166017747027112,Medium
Sadra Medical,CA,acquired,0,3,58000000,1,4,1,0,1,1,1.4603,6.3918,0.2597919020730527,Low
expressor software,MA,acquired,0,4,29050000,2,10,1,1,0,1,0.4959,4.9671,0.13950044449288532,Low
NSFW Corporation,NV,acquired,0,2,250000,2,3,1,0,0,0,0.7589,2.4521,0.6065202683625531,Medium
Azaire Networks,CA,closed,1,1,21000000,0,2,1,0,0,0,3.6493,3.6493,0.6489092161284807,Medium
Quigo,NY,acquired,0,2,35000000,0,25,1,1,1,0,4.1671,7.4356,0.2756980494660043,Low
Weatherista,CA,closed,1,1,500000,1,2,0,0,0,0,-0.0027,-0.0027,0.8581456152822162,High
Navini Networks,TX,acquired,0,2,30920000,1,3,1,1,0,0,5.6110000000000015,6.474,0.2520513567377216,Low
VirtualLogix,CA,acquired,0,4,29288979,1,9,1,1,1,1,2.0,8.0356,0.1253845208022434,Low
Exit41,MA,closed,1,4,24200000,2,11,1,1,1,0,8.0986,12.3671,0.703823123819419,High
SezWho,CA,acquired,0,1,1000000,3,4,0,0,1,0,1.0,1.0,0.3864991483789179,Medium
Jobs2Web,MN,acquired,0,2,5550000,1,3,1,0,1,0,1.0,3.0575,0.28588573409132256,Low
HighlightCam,CA,closed,1,2,3000000,3,8,1,0,1,0,-0.1534,2.3425,0.16209674488883827,Low
MerchantCircle,CA,acquired,0,2,14300000,3,13,1,0,1,1,0.6767,1.9178,0.11535676590988456,Low
Helicomm,CA,closed,1,1,1000000,0,0,0,1,0,0,4.2192,4.2192,0.9034982616628779,High
Kace networks,CA,acquired,0,2,11000000,1,7,1,1,0,1,2.5644,3.389,0.19544668797018738,Low
Thwapr,NY,closed,1,2,2000000,3,7,0,1,0,0,2.0027,3.0027,0.4617984198608316,Medium
Zinch,CA,acquired,0,2,5000000,2,17,1,1,0,0,0.8301,2.7178,0.17212553942960304,Low
Cloud.com,CA,acquired,0,1,11000000,2,12,1,0,0,1,2.0027,2.0027,0.11955785075779654,Low
"Wildfire, a division of Google",CA,acquired,0,4,14100000,4,19,1,0,1,1,0.4192,3.4192,0.05771370163253221,Low
Authenticlick,CA,closed,1,1,5000000,1,8,0,0,1,0,0.4932,0.4932,0.6033437726793206,Medium
Idooble,WA,closed,1,2,400000,1,1,0,0,0,0,0.0,1.5808,0.7465275145397716,High
BioSeek,CA,acquired,0,1,10000000,1,4,0,0,0,0,7.3945,7.3945,0.27817890397817135,Low
xkoto,MA,closed,1,3,11035000,1,3,1,1,0,1,0.8329,4.0712,0.43264518145663433,Medium
Coradiant,MA,acquired,0,1,12700000,2,9,1,0,0,0,5.6438,5.6438,0.07914859849807504,Low
QuantaLife,CA,acquired,0,2,20757182,1,3,1,0,0,1,2.9507,3.5562,0.2317609091977499,Low
BroadLight,CA,acquired,0,3,27000000,1,5,1,0,0,0,5.4658,7.2822,0.11269861238722538,Low
BBE,NY,acquired,0,1,10000000,3,7,0,0,1,0,3.7534,3.7534,0.2962835736237564,Low
TelASIC Communications,CA,closed,1,1,26000000,0,4,1,0,0,0,4.2219,4.2219,0.4616983403532604,Medium
LegiTime Technologies,CT,closed,1,2,4000000,0,2,1,0,1,0,2.1616,4.9562,0.7328245551554495,High
Mobius Microsystems,CA,acquired,0,2,20220000,1,3,1,0,1,1,2.0849,3.9425,0.19963019598865864,Low
Boonty,NY,acquired,0,1,10000000,3,7,1,0,0,1,4.3534,4.3534,0.14354355390621873,Low
B-Side Entertainment,NY,closed,1,2,7350000,3,8,1,0,1,1,1.5123,3.6082,0.31497890221628333,Low
Taggstr,CA,closed,1,1,50000,1,1,0,0,0,0,0.7671,0.7671,0.9121268511050414,High
Fashism,NY,closed,1,1,1000000,3,5,1,0,1,0,1.8822,1.8822,0.37336080837753727,Medium
Goodmail Systems,CA,closed,1,4,45000000,2,16,1,0,1,1,2.7945,6.0356,0.15650700364298328,Low
Nirvanix,CA,closed,1,5,70000000,5,22,1,1,1,1,0.2164,4.8438,0.24609904473438182,Low
LookStat,WA,closed,1,1,500000,2,3,1,0,1,0,1.3096,1.3096,0.669889882002163,High
Sweepery,CA,closed,1,2,500000,0,6,1,0,0,0,0.0849,1.3342,0.5213183522517061,Medium
Luminary Micro,TX,acquired,0,3,44000000,1,2,1,0,1,1,1.0877,3.6438,0.41806007649308896,Medium
ZettaCore,CO,closed,1,1,21000000,1,4,1,1,0,0,10.3644,10.3644,0.7258093484421606,High
Clicker,CA,acquired,0,2,19000000,2,12,1,0,1,1,0.7041,1.1315,0.09996644089899213,Low
iKoa,CA,closed,1,3,18700000,0,0,1,1,1,0,1.4247,4.5397,0.6222743513755307,Medium
SocialShield,CA,acquired,0,1,10000000,2,6,1,0,1,0,1.0932,1.0932,0.2210727177608583,Low
LeisureLogix,FL,closed,1,3,5900000,0,5,0,0,0,0,0.4192,0.4192,0.5756626143868239,Medium
Storwize,MA,acquired,0,2,28000000,2,13,1,0,0,1,3.4301,4.2548,0.07775786610160428,Low
AutoVirt,NH,closed,1,7,24300000,2,5,1,1,1,1,0.0,4.3945,0.43787114243178543,Medium
Loopt,CA,acquired,0,4,32006000,3,21,1,0,1,1,0.4137,5.3370000000000015,0.09294654138880214,Low
Blue Lane Technologies,CA,acquired,0,1,13400000,1,4,1,0,0,1,3.0877,3.0877,0.18735382919737384,Low
Socialcast,CA,acquired,0,3,9400000,3,18,1,0,1,1,3.8493,4.8329,0.061516562764884535,Low
Collective Intellect,CO,acquired,0,6,15324624,3,10,1,1,1,1,1.0849,7.937,0.1198029395442676,Low
Wavii,WA,acquired,0,1,2000000,2,3,1,0,0,0,1.3342,1.3342,0.5090664929110561,Medium
Seesmic,CA,acquired,0,3,16000000,4,24,1,0,1,1,0.4192,3.674,0.05517089497383157,Low
Apnex Medical,MN,closed,1,3,44000000,0,3,1,1,0,1,3.9205,6.7342,0.5474547948344957,Medium
MobileReactor,PA,closed,1,2,1175000,1,2,0,1,0,0,1.811,2.4548,0.7805019470748019,High
Echopass Corporation,CA,acquired,0,2,9000000,1,22,1,0,0,0,6.8329,10.2712,0.1806703169033851,Low
ID Analytics,CA,acquired,0,3,35150000,1,9,1,0,1,1,0.3288,5.3726,0.07941514333332184,Low
Vela Systems,MA,acquired,0,3,12000000,2,4,1,1,1,1,1.3288,5.6712,0.12962713714112173,Low
FlowCardia,CA,acquired,0,1,30000000,1,4,1,0,0,0,5.6629999999999985,5.6629999999999985,0.2543509315173427,Low
Bizanga,CA,acquired,0,1,8000000,1,5,1,0,0,1,6.1342,6.1342,0.18804097195944933,Low
Transpond,CA,acquired,0,1,4100000,3,6,1,0,1,0,2.0959,2.0959,0.19340573983185833,Low
Caterva,IL,closed,1,2,2408500,1,1,1,0,0,0,1.9562,3.5123,0.6925102076870515,High
Innovative Silicon,CA,closed,1,4,72000000,1,3,1,0,1,1,2.1644,5.8493,0.4812736474089629,Medium
Kardia Health Systems,MN,closed,1,2,18400000,1,2,0,1,0,0,1.0,2.0,0.7123271671866368,High
Biolex Therapeutics,NC,closed,1,7,162264126,1,4,1,1,0,1,8.0219,14.9726,0.7858186249711574,High
Foldrx Pharmaceuticals,MA,acquired,0,1,29000000,1,7,1,1,0,0,7.4575,7.4575,0.19338213227574144,Low
Klir Technologies,WA,closed,1,1,8700000,0,0,1,0,1,0,5.4247,5.4247,0.7478943483802184,High
MetaCarta,MA,acquired,0,1,10000000,2,12,1,0,0,0,4.6877,4.6877,0.06522590474599949,Low
Viridity Software,MA,acquired,0,2,15000000,2,5,1,0,1,1,0.9178,2.6329,0.09072437263842666,Low
Devtap,CA,closed,1,1,2600000,1,2,0,0,0,0,0.6685,0.6685,0.8344080291790209,High
Bebo,CA,acquired,0,1,15000000,3,30,1,0,1,0,1.3151,1.3151,0.10370359835575037,Low
SideTour,NY,acquired,0,3,4000000,2,7,1,0,1,0,0.0822,1.8164,0.1800314654154183,Low
SARcode Bioscience,CA,acquired,0,2,73000000,1,9,1,1,0,1,0.9151,5.5452,0.19287421459064777,Low
Lore,NY,acquired,0,4,12123837,3,5,1,0,1,0,0.3233,1.0986,0.1509695198314057,Low
Pelago,WA,acquired,0,3,22400000,3,18,1,1,1,1,0.9178,2.4877,0.1374288735682997,Low
Desk,CA,acquired,0,2,5700000,3,12,1,0,1,1,1.2849,2.0082,0.06882709802244048,Low
Trinity Biosystems,CA,closed,1,2,28500000,0,2,1,1,0,1,4.5452,7.8603,0.7192738544057821,High
Virtual Computer,MA,acquired,0,2,21000000,1,9,1,0,1,1,0.9151,2.0712,0.08261780542973816,Low
Oasys Mobile,NC,closed,1,1,8000000,1,1,0,1,0,0,21.8959,21.8959,0.833457205533102,High
Gamook,CA,closed,1,1,1500000,1,1,1,0,1,0,0.2055,0.2055,0.7165673765601154,High
Quattro Wireless,MA,acquired,0,3,28300000,4,17,1,0,1,1,0.5808,2.4603,0.0901665484246525,Low
ShopWell,CA,acquired,0,5,7939553,2,4,1,1,0,1,2.1452,4.9726,0.20770843162226663,Low
NewsBasis,CA,closed,1,1,545000,0,3,1,0,0,0,0.8329,0.8329,0.8542454401034035,High
Nexx Systems,MA,acquired,0,3,15247925,1,10,1,0,0,0,4.7452,8.9562,0.0866650937598722,Low
5min Media,NY,acquired,0,3,12800000,2,11,1,0,1,1,0.2466,2.5589,0.057412908481233475,Low
MyCabbage,IL,closed,1,2,950000,2,1,1,1,1,0,1.063,2.4822,0.7707251210046719,High
Gotuit,MA,acquired,0,2,16000000,5,6,1,0,1,1,2.9178,4.9205,0.1010708456400851,Low
TeleCIS Wireless,CA,acquired,0,1,10000000,1,2,1,0,0,0,6.0055,6.0055,0.4608571948353788,Medium
Snapette,NY,acquired,0,1,1500000,3,5,0,0,0,0,0.7781,0.7781,0.328305098683665,Low
EmSense,CA,closed,1,2,13000000,2,6,1,1,0,0,5.8438,6.9452,0.44910085513200104,Medium
MakerBot,NY,acquired,0,1,10000000,2,6,1,1,0,0,2.6411,2.6411,0.17753846102473955,Low
Image Space Media,NY,acquired,0,2,3915000,2,9,1,1,1,0,2.0521,2.9973,0.1463983230435993,Low
Wanderfly,NY,acquired,0,2,1400000,2,7,1,0,1,0,0.0,1.5041,0.25866322952614934,Low
walkby,IL,closed,1,2,650000,2,6,1,1,0,0,0.0,0.6904,0.5265897088185817,Medium
FameCast,TX,closed,1,3,9700000,4,5,1,1,1,0,0.4137,3.2438,0.4065196809071005,Medium
Cassatt,CA,acquired,0,1,15000000,1,6,1,0,0,0,3.1644,3.1644,0.18377421868254987,Low
VirtuOz,CA,acquired,0,4,38764000,3,18,1,1,1,1,3.7753,10.2548,0.13799498980594385,Low
SolFocus,CA,closed,1,8,211403000,2,6,1,1,1,1,0.3288,6.4192,0.5460359832436504,Medium
Nimbula,CA,acquired,0,2,20750000,3,8,1,0,1,1,2.4767,2.6438,0.18440416330612125,Low
Giftiki,CA,acquired,0,2,1020000,2,4,1,0,1,0,1.2493,1.8849,0.2234840451386404,Low
Storspeed,TX,closed,1,1,13000000,1,6,1,0,1,0,0.4301,0.4301,0.6243836366646713,Medium
SpaBooker,NY,acquired,0,2,14700000,2,8,1,0,1,0,0.1671,3.9178,0.18942552457875833,Low
Jajah,CA,acquired,0,4,33000000,4,19,1,0,1,1,1.1616,4.1644,0.07752966210304105,Low
Baxano,CA,acquired,0,1,30000000,0,5,1,0,0,0,5.4767,5.4767,0.29493828839281977,Low
RipCode,TX,closed,1,4,33000000,3,10,1,0,1,1,0.2384,3.7644,0.3862945363763688,Medium
VeteranCentral.com,DC,closed,1,1,150000,0,1,0,0,0,0,-0.5014,-0.5014,0.9110016081160514,High
RippleFunction,MA,closed,1,1,20000,1,3,0,0,0,0,0.1671,0.1671,0.765819138835258,High
CV Ingenuity,CA,closed,1,3,30926154,0,2,1,0,0,1,3.7589,5.0685,0.5729903812242368,Medium
AdexLink,CA,closed,1,1,2000000,0,0,0,0,0,0,0.8164,0.8164,0.9103598107696066,High
Certeon,MA,closed,1,2,19000000,1,2,1,1,0,1,4.5397,9.337,0.54556885984096,Medium
Applied Identity,CA,closed,1,3,33000000,1,2,1,0,1,1,3.0356,6.7534,0.5602004066532392,Medium
Prenova,GA,acquired,0,3,15650000,1,1,1,1,0,0,4.3562,6.3151,0.3268206832925972,Low
WooMe,CA,acquired,0,3,17400000,3,8,1,0,1,1,6.3342,7.5342,0.14127629188705348,Low
HelpMeRent.com,CA,closed,1,1,154000,2,5,0,0,0,0,0.8329,0.8329,0.7405230574480001,High
Mail.com Media Corporation,CA,closed,1,1,35000000,2,4,1,0,0,0,4.8082,4.8082,0.4412744091094265,Medium
DubMeNow,VA,closed,1,4,7516703,3,5,0,1,0,0,0.5836,4.4301,0.3082515216634584,Low
Smooth-Stone,TX,closed,1,1,48000000,3,1,1,1,0,0,2.6247,2.6247,0.6059173834338429,Medium
ONStor,CA,acquired,0,3,65800000,1,6,1,1,0,0,5.4219,8.3014,0.19407947592937178,Low
Relationship Analytics,NJ,closed,1,2,125000,1,2,0,0,0,0,0.6767,0.789,0.8194777259287288,High
Summize,VA,acquired,0,1,750000,3,5,1,0,0,0,0.5808,0.5808,0.33677325998892754,Medium
JouleX,GA,acquired,0,1,17000000,2,10,1,1,0,0,2.4384,2.4384,0.15399815538260817,Low
Etelos,CA,closed,1,3,4087500,3,4,0,1,0,0,10.4247,13.0877,0.7040610861929285,High
Make It Work,CA,closed,1,1,1000000,1,3,1,0,1,0,10.8795,10.8795,0.8020819695245907,High
MapMyFitness,TX,acquired,0,5,23500000,3,13,1,1,1,1,-0.1041,6.3644,0.19130373062141673,Low
What They Like,CA,closed,1,1,990000,0,2,0,0,1,0,0.0,0.0,0.9054409817570082,High
FetchBack,AZ,acquired,0,1,1000000,2,13,1,0,1,0,0.7534,0.7534,0.38452701697576175,Medium
Sermo,MA,acquired,0,4,41000000,2,15,1,1,1,1,0.6658,5.1315,0.10961677136828332,Low
Wi-Chi,OR,closed,1,1,7000000,0,3,1,0,1,0,0.3699,0.3699,0.7446240855768221,High
Alnara Pharmaceuticals,MA,acquired,0,2,55000000,1,4,1,0,1,1,0.8301,2.0767,0.1939688049008884,Low
Braintree,CA,acquired,0,2,69000000,2,10,1,0,1,1,3.7452,4.9671,0.2018376458996468,Low
Virident Systems,CA,acquired,0,8,129677153,3,25,1,1,1,1,1.3288,7.0795,0.2355790365411736,Low
Pearl Therapeutics,CA,acquired,0,6,232000100,0,4,1,0,1,0,2.5041,7.2521,0.3244262038799319,Low
Lexity,CA,acquired,0,2,5700000,3,5,1,0,1,0,0.0849,1.5863,0.20675453253937354,Low
Diligent Technologies,MA,acquired,0,1,10500000,1,3,1,0,0,0,5.6384,5.6384,0.1750811592296424,Low
eBillme,NY,closed,1,2,23000000,0,2,1,1,0,0,1.9699,3.9205,0.6649677116453715,High
Smilebox,WA,acquired,0,3,14000000,0,13,1,0,1,1,5.4329,9.4959,0.28532911283594936,Low
B-hive Networks,CA,acquired,0,2,7500000,0,4,1,0,1,0,1.6466,1.6466,0.3566774600371062,Medium
Hot Potato,NY,acquired,0,1,1420000,3,12,1,0,1,0,0.8986,0.8986,0.12550316783781165,Low
Kashless,WA,closed,1,2,9000000,2,1,1,1,1,0,0.1589,2.4274,0.7077203380860952,High
Three Screen Games,PA,closed,1,1,500000,0,3,1,1,0,0,0.7644,0.7644,0.8642992015867628,High
LaunchGram,CA,acquired,0,2,70000,2,4,1,0,0,0,0.0356,0.726,0.37157101022820826,Medium
BrightQube,CA,closed,1,2,850000,0,3,1,0,1,0,0.5808,1.6548,0.7688920875878986,High
ServiceMesh,CA,acquired,0,1,15000000,2,9,1,1,0,0,3.8767,3.8767,0.1335264075334359,Low
Lookery,CA,acquired,0,2,3150000,2,12,1,0,1,0,0.5205,1.0959,0.1573593309812271,Low
Wantful,CA,closed,1,1,5500000,2,6,1,0,1,0,1.2164,1.2164,0.3444071197190781,Medium
Zep Solar,CA,acquired,0,1,10571182,1,8,0,0,1,0,4.8877,4.8877,0.24134268390268096,Low
Help Me Rent Magazine,CA,closed,1,1,500000,0,13,0,0,0,0,0.5808,0.5808,0.7183570243730371,High
MOG,CA,acquired,0,7,24900000,3,12,1,1,1,0,0.9233,4.7425,0.2043910265588991,Low
Loud3r,CA,closed,1,2,3529175,3,12,0,1,1,0,1.7616,2.326,0.2516684998585201,Low
Oyster.com,NY,acquired,0,4,23400000,3,15,1,0,1,1,0.0,4.6164,0.08264483550050931,Low
LogLogic,CA,acquired,0,1,8800000,3,15,1,0,0,0,7.4027,7.4027,0.1636556217350406,Low
StyleTrek,NY,closed,1,1,1500000,1,2,1,0,0,0,0.0,0.0,0.7891944110553061,High
Sequoia Communications,CA,closed,1,7,74000000,0,3,1,1,0,0,4.8603,9.4247,0.5623848310682275,Medium
SnapNames,OR,acquired,0,3,8800000,2,3,0,0,1,1,1.4164,2.0,0.34952668768713424,Medium
